elpsdm,ordfreq,ordcat,log_revlast,log_n24,log_rev24,prediction
24,1,6,2.890371813451719,1.6094379124341003,5.225746673713202,0
24,1,6,2.7080502677688743,0.6931471805599453,3.4011973816621555,0
24,1,7,3.401197414995488,3.1780538303479458,5.8916442118257715,0
24,1,6,2.7080502677688743,1.3862943611198906,3.713572066704308,0
24,1,6,2.890371813451719,1.6094379124341003,4.07753744390572,0
24,1,7,3.2188758648682,1.6094379124341003,4.499809670330265,0
24,1,6,2.9957323235539897,0.6931471805599453,3.4011973816621555,0
24,1,6,2.7080502677688743,1.6094379124341003,4.330733340286331,0
23,1,6,2.9957323235539897,1.9459101490553132,4.1588830833596715,0
23,1,6,2.9957323235539897,1.791759469228055,4.382026634673881,0
23,1,5,2.48490673312133,2.833213344056216,5.231108616854587,0
23,1,7,3.2188758648682,2.0794415416798357,4.77912349311153,0
23,1,6,2.9957323235539897,1.6094379124341003,4.143134726391533,0
23,1,6,2.7080502677688743,2.3978952727983707,4.6913478822291435,0
23,1,7,3.2188758648682,2.4849066497880004,5.231108616854587,0
23,1,6,2.833213402879744,1.0986122886681098,3.367295829986474,0
23,1,6,2.9957323235539897,2.3978952727983707,4.962844630259907,0
23,1,6,2.9957323235539897,0.6931471805599453,3.5553480614894135,0
23,1,6,2.7080502677688743,2.1972245773362196,4.700480365792417,0
23,1,5,2.48490673312133,2.6390573296152584,4.927253685157205,0
23,1,6,2.9957323235539897,1.9459101490553132,4.430816798843313,0
23,1,6,2.7080502677688743,2.1972245773362196,4.454347296253507,0
23,1,6,2.944439031798018,1.6094379124341003,4.23410650459726,0
23,1,6,2.9957323235539897,2.302585092994046,4.983606621708336,0
23,1,6,2.9957323235539897,0.6931471805599453,3.6888794541139363,0
23,1,6,2.7080502677688743,1.791759469228055,4.382026634673881,0
23,1,6,2.772588784739779,2.3978952727983707,4.812184355372417,0
23,1,7,3.401197414995488,2.1972245773362196,4.709530201312334,0
23,1,6,2.7080502677688743,1.0986122886681098,3.367295829986474,0
23,1,6,2.7080502677688743,1.3862943611198906,3.6109179126442243,0
23,1,6,2.772588784739779,1.9459101490553132,4.394449154672439,0
23,1,6,2.9957323235539897,0.6931471805599453,3.6888794541139363,0
23,1,6,2.7080502677688743,2.3978952727983707,4.948759890378168,0
23,1,6,2.7080502677688743,2.0794415416798357,4.204692619390966,0
23,1,7,3.401197414995488,0.6931471805599453,3.970291913552122,0
23,1,5,2.3025851929940404,2.9444389791664403,4.060443010546419,0
23,1,6,2.833213402879744,0.6931471805599453,3.4657359027997265,0
23,1,6,2.7080502677688743,1.3862943611198906,3.5263605246161616,0
23,1,7,3.2188758648682,1.3862943611198906,4.189654742026425,0
23,1,7,3.2188758648682,0.6931471805599453,3.6888794541139363,0
23,1,5,2.5649494343846104,2.995732273553991,5.135798437050262,0
23,1,5,2.5649494343846104,2.833213344056216,5.313205979041787,0
23,1,6,2.890371813451719,2.833213344056216,5.54907608489522,0
23,1,6,2.9957323235539897,1.9459101490553132,3.9512437185814275,0
